genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Rap,Chris Brown,Pills & Automobiles,4YkwUfWSIxdKNLDXw0caFO,70,0.119,0.82,292910,0.696,0,G,0.231,-4.918,Minor,0.182,144.981,4/4,0.617
Rap,G-Eazy,Calm Down,7xq3uN2toVZ8IbNzfTucyJ,69,0.000175,0.537,127427,0.624,2.2e-06,B,0.116,-8.794,Major,0.325,102.315,4/4,0.409
Rap,J. Cole,FRIENDS (feat. kiLL edward),6onwlDmIVKE8bBgyBRSuS0,69,0.102,0.716,257646,0.652,0,F#,0.11,-7.909,Minor,0.398,109.295,5/4,0.494
Rap,SZA,Drew Barrymore,06u5LrUpbosQlQ1QJFhPpG,69,0.493,0.578,231400,0.523,0,C,0.147,-5.538,Minor,0.0429,134.931,4/4,0.29
Rap,NF,Mansion,3nKRYKbGxhzv4BbwlLOcWU,69,0.566,0.428,323267,0.833,0,A#,0.0992,-4.491,Minor,0.302,150.712,4/4,0.399
Rap,Post Malone,Up There,2rKmNEYrQxaOPZrOWKZpOc,70,0.373,0.654,194827,0.378,1.07e-05,F,0.0971,-8.108,Minor,0.0322,72.976,4/4,0.437
Rap,Jaden Smith,SOHO,0gf2y5doKjsYaZJJZif4vz,72,0.342,0.547,208493,0.596,0.335,G#,0.148,-7.744,Minor,0.192,159.985,4/4,0.368
Rap,Joyner Lucas,I'm Sorry,3dqxngWDgh4tb0VSb83nvc,70,0.252,0.746,349785,0.576,0,G#,0.074,-7.461,Major,0.414,110.2,4/4,0.337
Rap,50 Cent,P.I.M.P.,2D1hlMwWWXpkc3CZJ5U351,69,0.0485,0.673,249467,0.785,3.65e-06,A#,0.0397,-2.894,Minor,0.351,84.607,4/4,0.85
Rap,Joyner Lucas,I Don't Die,3NSmC1EQKOdUe6KhMrDDk5,71,0.099,0.743,224735,0.876,0,C#,0.119,-4.326,Major,0.301,149.041,4/4,0.574
Rap,Lil Xan,Lies (feat. Lil Skies),1hOoLI7psTWFbQ0oCNfcSF,72,0.0262,0.779,206387,0.626,0.00488,A#,0.114,-7.73,Minor,0.067,140.078,4/4,0.419
Rap,XXXTENTACION,Ayala (Outro),5xbrhx2tMMcN68IT3cJbhS,70,0.737,0.57,99707,0.285,0.0133,A,0.108,-14.125,Minor,0.0381,83.485,4/4,0.0973
Rap,Lil Peep,Cry Alone,4kQazx3VMaDKUG1IIaC94i,72,0.0366,0.637,167107,0.856,0.0308,C#,0.0809,-5.649,Major,0.0337,160.068,4/4,0.285
Rap,Jeezy,Put On,5dANgSy7v091dhiPnEXNrf,68,0.0027,0.649,321293,0.785,0,A,0.0859,-6.031,Minor,0.0369,137.618,4/4,0.294
Rap,Future,Temptation,2gXOzCwbVXACCaYRj4Qrep,70,0.164,0.66,167673,0.55,0.000204,E,0.199,-6.744,Major,0.184,130.004,4/4,0.299
Rap,Kesha,TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,77,0.0991,0.755,199693,0.837,0,D,0.289,-2.718,Minor,0.142,120.028,4/4,0.714
Rap,T-Pain,Bartender,5kxddRG1RZaZROadk7iC4D,71,0.0611,0.675,238800,0.394,0,G#,0.214,-8.539,Major,0.133,104.987,4/4,0.405
Rap,6ix9ine,KOODA,0tYHqwTW4s6VuPWDSD7n7K,72,0.175,0.885,142582,0.641,0,C#,0.234,-4.455,Major,0.351,91.167,4/4,0.201
Rap,Mac Miller,Knock Knock,3uYm4MtU6jUQft2DtGqEoZ,67,0.0353,0.667,202807,0.922,0,E,0.364,-4.857,Minor,0.128,108.952,4/4,0.509
Rap,Kanye West,Gorgeous,23SZWX2IaDnxmhFsSLvkG2,67,0.0207,0.603,357653,0.713,0.000179,C#,0.431,-3.625,Minor,0.0317,91.953,4/4,0.12
Rap,Travis Scott,Oh My Dis Side (feat. Quavo),2rMFawCg4BW65jzbwztXAV,67,0.352,0.459,351253,0.623,0,C#,0.131,-4.45,Major,0.0489,126.018,4/4,0.205
Rap,Trippie Redd,Diamond Minds,6bKUUSlzDua0gt0g13OKqw,68,0.567,0.678,185828,0.477,0,G,0.11,-9.626,Major,0.0836,92.963,4/4,0.481
Rap,Kanye West,I Wonder,6bXOlIfGIWh7Tyn4oyvLQW,64,0.13,0.54,243440,0.476,0.000252,C,0.135,-8.658,Major,0.111,191.259,4/4,0.116
Rap,21 Savage,letter 2 my momma,55xNjVrGJxgqcEFqCyejTM,69,0.0531,0.864,194810,0.608,1.2e-05,C#,0.078,-10.567,Minor,0.275,80.225,4/4,0.963
Rap,Mac Miller,Stay,4brX8MJs5hxErgq48f9REO,68,0.566,0.742,326427,0.561,0.000135,F#,0.641,-7.017,Major,0.139,134.01,4/4,0.55
Rap,Drake,Summer Games,4HG1YiGBseVKzjyKcmAJen,71,0.477,0.775,247893,0.482,0.0456,C#,0.11,-11.269,Major,0.0357,136.016,4/4,0.134
Rap,blackbear,Weak When Ur Around,3UWkbO4emEOu9YUeOGq3vU,70,0.678,0.769,169500,0.323,0,D#,0.116,-12.887,Minor,0.0524,94.977,4/4,0.574
Rap,Frank Ocean,Provider,6R6ihJhRbgu7JxJKIbW57w,71,0.74,0.654,243238,0.325,2.14e-05,D,0.152,-11.925,Major,0.282,139.886,4/4,0.39
Rap,Snakehips,All My Friends (feat. Tinashe & Chance the Rapper),6TaqooOXAEcijL6G1AWS2K,75,0.119,0.689,229747,0.521,8.41e-05,C,0.108,-5.845,Major,0.132,95.055,4/4,0.178
Rap,Eminem,Mockingbird,561jH07mF1jHuk7KlaeF0s,70,0.242,0.592,250760,0.678,0,E,0.182,-4.411,Minor,0.248,83.976,4/4,0.208
Rap,Drake,Crew Love,0V4l4GQhgnWQGtCWpvA7va,70,0.227,0.418,208813,0.546,0,C,0.229,-9.057,Minor,0.238,160.152,4/4,0.294
Rap,Saba,Photosynthesis,3DlgDXIYtnWtJKiB8bZQMv,69,0.536,0.777,201733,0.662,4.61e-06,G,0.593,-8.393,Major,0.27,111.13,4/4,0.634
Rap,Justin Timberlake,Rock Your Body,1AWQoqb9bSvzTjaLralEkT,74,0.202,0.891,267267,0.714,0.000234,E,0.0521,-6.055,Minor,0.14,100.972,4/4,0.818
Rap,Future,Astronauts,2vs5ubqg8QUbfyWZpMfvWe,70,0.0402,0.732,169920,0.586,2.66e-06,C#,0.121,-7.868,Major,0.232,76.48,4/4,0.73
Rap,Trippie Redd,Dark Knight Dummo,4apiNNK0jp9uqn3JDG9My1,70,0.167,0.28,256163,0.821,0,G#,0.139,-2.864,Minor,0.111,181.444,3/4,0.254
Rap,Nicki Minaj,Truffle Butter,3keUgTGEoZJt0QkzTB6kHg,67,0.0525,0.896,219227,0.672,3.14e-05,A#,0.12,-6.875,Minor,0.0479,105.098,4/4,0.523
Rap,Mac Miller,Conversation Pt. 1,1oFEAWvPHP5TdSlmIs77sV,67,0.64,0.787,210253,0.472,5.22e-05,F#,0.11,-10.032,Minor,0.113,144.998,4/4,0.264
Rap,A Boogie Wit da Hoodie,Say A',3AMnOVxEHUgVrythGgqPhI,67,0.391,0.831,214854,0.814,0,F,0.109,-5.18,Major,0.474,161.041,4/4,0.846
Rap,Jeremih,Down On Me,0x3TibRgnSqzkcwrqBd4iX,72,0.0369,0.7,228453,0.598,0,D,0.111,-7.783,Major,0.114,160.041,4/4,0.594
Rap,Lil Uzi Vert,SideLine Watching (Hold Up),0VYhxVxH9ijmdHUKsON9Bk,66,0.281,0.747,191033,0.553,0,C#,0.117,-7.294,Major,0.117,141.888,4/4,0.262
